name,pred,gt,dice,iou,precision,recall,specificity,hd95,object_f1,object_precision,object_recall,object_dice,n_pred,n_gt
testA_22,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_22.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_22.png,0.6954721296202654,0.5331217104767639,0.7922814917123095,0.6197450957269958,0.8056906509194619,63.0,0.12698412698412698,0.07142857142857142,0.5714285714285714,0.7371183946683495,56,7
testA_23,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_23.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_23.png,0.7432180810029253,0.591365987821389,0.6944407063801942,0.7993653406987477,0.5550329783565972,104.66995711914038,0.1951219512195122,0.12121212121212122,0.5,0.8091128685340594,33,8
testA_24,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_24.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_24.png,0.6225042911346694,0.4519101490697341,0.7420035898758535,0.5361565525078208,0.815482455709811,84.98529157249601,0.025316455696202528,0.014705882352941176,0.09090909090909091,0.6767019760987207,68,11
testA_25,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_25.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_25.png,0.6190250966264488,0.44825224203234726,0.6308536435190835,0.6076319578536289,0.4569897175161046,63.071388124885914,0.0,0.0,0.0,0.0,25,19
testA_26,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_26.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_26.png,0.5432763846228221,0.37294403611682997,0.43496250498177585,0.7234221693378453,0.7346452300054057,266.3338119308238,0.07500000000000001,0.03896103896103896,1.0,0.750077105439353,77,3
testA_27,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_27.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_27.png,0.48593390259627484,0.32094629384496765,0.5741444633464077,0.4212186057014473,0.6201506230337113,40.0,0.0,0.0,0.0,0.0,77,31
testA_28,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_28.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_28.png,0.6128876081674665,0.4418442310640395,0.6145988805986491,0.6111858389184752,0.45700835758092023,36.0,0.04,0.045454545454545456,0.03571428571428571,0.806266846393823,22,28
testA_29,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_29.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_29.png,0.7876740826168408,0.6497213920149506,0.7887205663349797,0.7866303721942454,0.8720712202955909,76.68767828015137,0.1627906976744186,0.08860759493670886,1.0,0.8420052507542944,79,7
testA_3,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_3.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_3.png,0.736540870719745,0.5829558342271283,0.7825266198084198,0.6956599075085792,0.8039232603391171,161.2280991015249,0.0909090909090909,0.04878048780487805,0.6666666666666666,0.883653362808559,41,3
testA_30,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_30.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_30.png,0.6791946008268906,0.514227607831903,0.8017174753126021,0.5891564685971118,0.8488166529846897,67.47221640254068,0.1643835616438356,0.09523809523809523,0.6,0.7570349617874538,63,10
